claim_id,publication_id,claim,specification,runtime_artifact,execution_case,proof_report,proof_status
AOMS-CP-001,AOMS-002,Capability does not establish authority,specifications/AOMS-SPEC-001_CANONICAL_RUNTIME.md,src/canonical/engines.py,cases/domains/AOMS-B06-002.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-002,AOMS-002,Authority is reconstructed at effect time,specifications/AOMS-SPEC-003_STATE_AND_TRANSITION_ALGEBRA.md,src/canonical/engines.py,cases/domains/AOMS-B06-004.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-003,AOMS-002,Unknown mandatory state cannot yield ALLOW,specifications/AOMS-SPEC-003_STATE_AND_TRANSITION_ALGEBRA.md,src/canonical/pipeline.py,cases/canonical/AOMS-104.json,reports/canonical/BATCH_03_RESULTS.json,EXECUTION-VERIFIED
AOMS-CP-004,AOMS-002,Every evaluation receives a fresh identity,specifications/AOMS-SPEC-003_STATE_AND_TRANSITION_ALGEBRA.md,src/canonical/pipeline.py,cases/domains/AOMS-B06-001.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-005,AOMS-002,Terminal decisions are ALLOW DENY ESCALATE or REAUTHORIZE,specifications/AOMS-SPEC-001_CANONICAL_RUNTIME.md,src/canonical/models.py,cases/domains/AOMS-B06-001.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-006,AOMS-002,Expired authority requires renewed authorization,specifications/AOMS-SPEC-003_STATE_AND_TRANSITION_ALGEBRA.md,src/canonical/engines.py,cases/domains/AOMS-B06-004.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-007,AOMS-002,Dependency failure denies execution,specifications/AOMS-SPEC-003_STATE_AND_TRANSITION_ALGEBRA.md,src/canonical/engines.py,cases/domains/AOMS-B06-002.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-008,AOMS-002,Protected boundaries require escalation,specifications/AOMS-SPEC-003_STATE_AND_TRANSITION_ALGEBRA.md,src/canonical/engines.py,cases/domains/AOMS-B06-003.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-009,AOMS-003,Canonical corpus coverage is exact,specifications/AOMS-SPEC-002_CONFORMANCE_AND_VERIFICATION.md,src/canonical_cases.py,cases/canonical/AOMS-101.json,reports/canonical/BATCH_03_RESULTS.json,EXECUTION-VERIFIED
AOMS-CP-010,AOMS-003,Legacy outcomes remain preserved,specifications/AOMS-SPEC-002_CONFORMANCE_AND_VERIFICATION.md,src/canonical/adapter.py,cases/AOMS-001.json,reports/conformance/BATCH_04_CONFORMANCE.json,EXECUTION-VERIFIED
AOMS-CP-011,AOMS-003,Runtime exceptions fail closed,specifications/AOMS-SPEC-002_CONFORMANCE_AND_VERIFICATION.md,src/canonical/pipeline.py,cases/domains/AOMS-B06-002.json,reports/conformance/BATCH_04_CONFORMANCE.json,EXECUTION-VERIFIED
AOMS-CP-012,AOMS-003,Proof completeness is tested,specifications/AOMS-SPEC-004_EVIDENCE_AND_PROVENANCE.md,src/conformance.py,cases/domains/AOMS-B06-001.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-013,AOMS-003,Decision distribution is machine verified,specifications/AOMS-SPEC-002_CONFORMANCE_AND_VERIFICATION.md,src/domain_execution.py,cases/domains/AOMS-B06-060.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-014,AOMS-003,Replay creates a new execution identity,specifications/AOMS-SPEC-004_EVIDENCE_AND_PROVENANCE.md,src/domain_execution.py,cases/domains/AOMS-B06-001.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-015,AOMS-004,AOMS occupies the reconstruction and eligibility layer,specifications/AOMS-SPEC-001_CANONICAL_RUNTIME.md,src/canonical/pipeline.py,cases/domains/AOMS-B06-001.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-016,AOMS-004,Evidence remains distinct from authority,specifications/AOMS-SPEC-004_EVIDENCE_AND_PROVENANCE.md,src/canonical/models.py,cases/domains/AOMS-B06-010.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-017,AOMS-004,A prior decision is not reusable authority,specifications/AOMS-SPEC-004_EVIDENCE_AND_PROVENANCE.md,src/canonical/pipeline.py,cases/domains/AOMS-B06-001.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-018,AOMS-004,Domain profiles preserve canonical semantics,specifications/AOMS-SPEC-003_STATE_AND_TRANSITION_ALGEBRA.md,src/domain_execution.py,cases/domains/AOMS-B06-060.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-019,AOMS-004,Every terminal decision retains provenance,specifications/AOMS-SPEC-004_EVIDENCE_AND_PROVENANCE.md,src/canonical/models.py,cases/domains/AOMS-B06-001.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
AOMS-CP-020,AOMS-004,The six-domain wave executes without weakening invariants,specifications/AOMS-SPEC-002_CONFORMANCE_AND_VERIFICATION.md,src/domain_execution.py,cases/domains/AOMS-B06-060.json,reports/domain-execution/BATCH_07_AGGREGATE.json,EXECUTION-VERIFIED
