case_id,family,variant,expected_decision,required_reasons,schema_version
AOMS-101,ALLOW,continuous-authorized-state-01,ALLOW,,2.0.0
AOMS-102,ALLOW,continuous-authorized-state-02,ALLOW,,2.0.0
AOMS-103,ALLOW,continuous-authorized-state-03,ALLOW,,2.0.0
AOMS-104,ALLOW,continuous-authorized-state-04,ALLOW,,2.0.0
AOMS-105,ALLOW,continuous-authorized-state-05,ALLOW,,2.0.0
AOMS-106,ALLOW,continuous-authorized-state-06,ALLOW,,2.0.0
AOMS-107,ALLOW,continuous-authorized-state-07,ALLOW,,2.0.0
AOMS-108,ALLOW,continuous-authorized-state-08,ALLOW,,2.0.0
AOMS-109,ALLOW,continuous-authorized-state-09,ALLOW,,2.0.0
AOMS-110,ALLOW,continuous-authorized-state-10,ALLOW,,2.0.0
AOMS-111,ALLOW,continuous-authorized-state-11,ALLOW,,2.0.0
AOMS-112,ALLOW,continuous-authorized-state-12,ALLOW,,2.0.0
AOMS-113,ALLOW,continuous-authorized-state-13,ALLOW,,2.0.0
AOMS-114,ALLOW,continuous-authorized-state-14,ALLOW,,2.0.0
AOMS-115,ALLOW,continuous-authorized-state-15,ALLOW,,2.0.0
AOMS-116,ALLOW,continuous-authorized-state-16,ALLOW,,2.0.0
AOMS-117,ALLOW,continuous-authorized-state-17,ALLOW,,2.0.0
AOMS-118,ALLOW,continuous-authorized-state-18,ALLOW,,2.0.0
AOMS-119,ALLOW,continuous-authorized-state-19,ALLOW,,2.0.0
AOMS-120,ALLOW,continuous-authorized-state-20,ALLOW,,2.0.0
AOMS-121,ALLOW,continuous-authorized-state-21,ALLOW,,2.0.0
AOMS-122,ALLOW,continuous-authorized-state-22,ALLOW,,2.0.0
AOMS-123,ALLOW,continuous-authorized-state-23,ALLOW,,2.0.0
AOMS-124,ALLOW,continuous-authorized-state-24,ALLOW,,2.0.0
AOMS-125,ALLOW,continuous-authorized-state-25,ALLOW,,2.0.0
AOMS-126,REAUTHORIZE,artifact-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-127,REAUTHORIZE,context-authority-invalid,REAUTHORIZE,authority_invalid,2.0.0
AOMS-128,REAUTHORIZE,authorization-expired,REAUTHORIZE,authorization_expired,2.0.0
AOMS-129,REAUTHORIZE,execution-too-early,REAUTHORIZE,execution_too_early,2.0.0
AOMS-130,REAUTHORIZE,actor-mismatch,REAUTHORIZE,actor_mismatch,2.0.0
AOMS-131,REAUTHORIZE,action-drift,REAUTHORIZE,action_drift_detected,2.0.0
AOMS-132,REAUTHORIZE,identity-discontinuity,REAUTHORIZE,identity_continuity_failed,2.0.0
