case_id,domain,effect_class,expected_decision,proof_obligation,status
AOMS-B06-001,AI_AGENTS,tool invocation,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-002,AI_AGENTS,credential use,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-003,AI_AGENTS,delegated action,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-004,AI_AGENTS,external communication,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-005,AI_AGENTS,memory mutation,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-006,AI_AGENTS,tool invocation,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-007,AI_AGENTS,credential use,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-008,AI_AGENTS,delegated action,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-009,AI_AGENTS,external communication,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-010,AI_AGENTS,memory mutation,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-011,FINANCE,payment initiation,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-012,FINANCE,settlement,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-013,FINANCE,asset transfer,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-014,FINANCE,reversal,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-015,FINANCE,account mutation,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-016,FINANCE,payment initiation,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-017,FINANCE,settlement,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-018,FINANCE,asset transfer,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-019,FINANCE,reversal,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-020,FINANCE,account mutation,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-021,HEALTHCARE,clinical recommendation,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-022,HEALTHCARE,record mutation,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-023,HEALTHCARE,treatment scheduling,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-024,HEALTHCARE,medication action,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-025,HEALTHCARE,data disclosure,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-026,HEALTHCARE,clinical recommendation,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-027,HEALTHCARE,record mutation,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-028,HEALTHCARE,treatment scheduling,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-029,HEALTHCARE,medication action,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-030,HEALTHCARE,data disclosure,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-031,ROBOTICS,motion command,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-032,ROBOTICS,actuator control,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-033,ROBOTICS,workspace entry,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-034,ROBOTICS,payload handling,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-035,ROBOTICS,emergency stop,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-036,ROBOTICS,motion command,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-037,ROBOTICS,actuator control,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-038,ROBOTICS,workspace entry,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-039,ROBOTICS,payload handling,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-040,ROBOTICS,emergency stop,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-041,CIVIC_SYSTEMS,registration update,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
AOMS-B06-042,CIVIC_SYSTEMS,ballot workflow,DENY,PO-FAIL-CLOSED,EXECUTION-VERIFIED
AOMS-B06-043,CIVIC_SYSTEMS,tabulation action,ESCALATE,PO-BOUNDARY,EXECUTION-VERIFIED
AOMS-B06-044,CIVIC_SYSTEMS,certification step,REAUTHORIZE,PO-CURRENT-AUTHORITY,EXECUTION-VERIFIED
AOMS-B06-045,CIVIC_SYSTEMS,public-record release,ALLOW,PO-TERMINALITY,EXECUTION-VERIFIED
